timestamp,datetime,x,y,z,quality
2025-10-15T15:36:26.942550,2.06,1.2,1.4,89
2025-10-15T15:36:27.043875,2.05,1.23,1.4,89
2025-10-15T15:36:27.145119,2.04,1.25,1.41,89
2025-10-15T15:36:27.246906,2.03,1.43,1.19,88
2025-10-15T15:36:27.348090,2.03,1.4,1.26,89
2025-10-15T15:36:27.449419,2.03,1.35,1.32,89
2025-10-15T15:36:27.550753,2.03,1.33,1.35,89
2025-10-15T15:36:27.652017,2.02,1.33,1.37,89
2025-10-15T15:36:27.753122,2.03,1.29,1.41,89
2025-10-15T15:36:27.854339,2.04,1.24,1.44,89
2025-10-15T15:36:27.955634,2.02,1.49,1.27,89
2025-10-15T15:36:28.056916,2.02,1.63,1.14,89
2025-10-15T15:36:28.158223,2.03,1.73,0.91,88
2025-10-15T15:36:28.259454,2.04,1.59,1.06,89
2025-10-15T15:36:28.360455,2.05,1.44,1.19,89
2025-10-15T15:36:28.462034,2.05,1.38,1.26,89
2025-10-15T15:36:28.563048,2.05,1.32,1.31,89
2025-10-15T15:36:28.664064,2.04,1.53,1.14,89
2025-10-15T15:36:28.765055,2.05,1.4,1.26,89
2025-10-15T15:36:28.866074,2.05,1.35,1.32,89
2025-10-15T15:36:28.967068,2.05,1.32,1.35,89
2025-10-15T15:36:29.068071,2.04,1.32,1.37,89
2025-10-15T15:36:29.169089,2.03,1.33,1.38,89
2025-10-15T15:36:29.270133,2.03,1.31,1.4,89
2025-10-15T15:36:29.371246,2.03,1.27,1.43,89
2025-10-15T15:36:29.472495,2.03,1.25,1.45,89
2025-10-15T15:36:29.573788,2.03,1.24,1.45,89
2025-10-15T15:36:29.675728,2.04,1.22,1.45,89
